fl_no,dpt_date,dpt_time,dpt_ap,arr_date,arr_time,arr_ap,comp
FB8559,8/1/2019,0:05,HOM,8/1/2019,2:05,SXA,C1F1
FB8567,8/1/2019,0:35,XXJ,8/1/2019,2:25,SXA,C1F1
FB1000,8/1/2019,3:35,SXA,8/1/2019,5:55,TGD,C1F1
FB8558,8/1/2019,4:50,SXA,8/1/2019,7:00,TGD,C1F1
FB89,8/1/2019,6:10,TGD,8/1/2019,9:00,HUK,C1F1
FB411,8/1/2019,6:25,TGD,8/1/2019,7:35,HOM,C1F1
FB985,8/1/2019,6:25,TGD,8/1/2019,7:30,HOM,C1F1
FB239,8/1/2019,6:25,TGD,8/1/2019,8:15,FBX,C1F1
FB8560,8/1/2019,6:35,SXA,8/1/2019,8:30,HOM,C1F1
FB993,8/1/2019,6:40,TGD,8/1/2019,9:05,SXA,C1F1
FB293,8/1/2019,6:40,TGD,8/1/2019,7:55,OOJ,C1F1
FB619,8/1/2019,6:45,TGD,8/1/2019,8:30,XSJ,C1F1
FB381,8/1/2019,6:50,TGD,8/1/2019,8:05,YKJ,C1F1
FB393,8/1/2019,6:55,TGD,8/1/2019,7:55,UYS,C1F1
FB94,8/1/2019,7:00,HOM,8/1/2019,8:10,TGD,C1F1
FB13,8/1/2019,7:00,TGD,8/1/2019,8:05,HOM,C1F1
FB51,8/1/2019,7:00,TGD,8/1/2019,8:30,NOU,C1F1
FB671,8/1/2019,7:00,TGD,8/1/2019,8:25,THJ,C1F1
FB240,8/1/2019,7:00,FBX,8/1/2019,8:40,TGD,C1F1
FB412,8/1/2019,7:05,HOM,8/1/2019,8:20,TGD,C1F1
FB986,8/1/2019,7:05,HOM,8/1/2019,8:15,TGD,C1F1
FB1200,8/1/2019,7:05,SXA,8/1/2019,8:40,FBX,C1F1
FB292,8/1/2019,7:05,OOJ,8/1/2019,8:20,TGD,C1F1
FB541,8/1/2019,7:10,HOM,8/1/2019,8:20,XSJ,C1F1
FB93,8/1/2019,7:10,TGD,8/1/2019,8:25,HOM,C1F1
FB583,8/1/2019,7:10,TGD,8/1/2019,8:35,MYJ,C1F1
FB394,8/1/2019,7:10,UYS,8/1/2019,8:15,TGD,C1F1
FB312,8/1/2019,7:10,OSY,8/1/2019,8:15,TGD,C1F1
FB652,8/1/2019,7:10,SXJ,8/1/2019,8:25,TGD,C1F1
FB382,8/1/2019,7:20,YKJ,8/1/2019,8:40,TGD,C1F1
FB241,8/1/2019,7:25,TGD,8/1/2019,9:15,FBX,C1F1
FB651,8/1/2019,7:25,TGD,8/1/2019,8:40,SXJ,C1F1
FB451,8/1/2019,7:25,TGD,8/1/2019,9:15,TUK,C1F1
FB582,8/1/2019,7:25,MYJ,8/1/2019,8:55,TGD,C1F1
FB14,8/1/2019,7:30,HOM,8/1/2019,8:45,TGD,C1F1
FB1891,8/1/2019,7:30,TGD,8/1/2019,8:25,TAN,C1F1
FB432,8/1/2019,7:30,FBX,8/1/2019,8:45,GKS,C1F1
FB50,8/1/2019,7:30,NOU,8/1/2019,9:05,TGD,C1F1
FB402,8/1/2019,7:30,AXO,8/1/2019,8:35,TGD,C1F1
FB463,8/1/2019,7:35,TGD,8/1/2019,10:05,SXA,C1F1
FB601,8/1/2019,7:35,TGD,8/1/2019,9:15,XMH,C1F1
FB632,8/1/2019,7:35,HWX,8/1/2019,9:10,TGD,C1F1
FB672,8/1/2019,7:35,THJ,8/1/2019,9:00,TGD,C1F1
FB522,8/1/2019,7:35,XMJ,8/1/2019,8:40,HOM,C1F1
FB532,8/1/2019,7:35,OAX,8/1/2019,8:55,TGD,C1F1
FB562,8/1/2019,7:35,XNZ,8/1/2019,8:55,TGD,C1F1
FB792,8/1/2019,7:35,SHO,8/1/2019,9:10,TGD,C1F1
FB492,8/1/2019,7:40,GKS,8/1/2019,8:55,TGD,C1F1
FB692,8/1/2019,7:40,BCJ,8/1/2019,9:20,TGD,C1F1
FB531,8/1/2019,7:45,TGD,8/1/2019,9:00,OAX,C1F1
FB2176,8/1/2019,7:50,HOM,8/1/2019,9:10,TGD,C1F1
FB401,8/1/2019,7:50,TGD,8/1/2019,8:55,AXO,C1F1
FB732,8/1/2019,7:50,UDJ,8/1/2019,9:10,HOM,C1F1
FB313,8/1/2019,7:55,TGD,8/1/2019,8:50,OSY,C1F1
FB1731,8/1/2019,8:00,HOM,8/1/2019,10:00,SXA,C1F1
FB16,8/1/2019,8:00,HOM,8/1/2019,9:15,TGD,C1F1
FB421,8/1/2019,8:00,HOM,8/1/2019,9:15,FBX,C1F1
FB460,8/1/2019,8:00,SXA,8/1/2019,10:25,TGD,C1F1
FB15,8/1/2019,8:00,TGD,8/1/2019,9:05,HOM,C1F1
FB53,8/1/2019,8:00,TGD,8/1/2019,9:30,NOU,C1F1
FB1702,8/1/2019,8:00,FBX,8/1/2019,9:05,HOM,C1F1
FB242,8/1/2019,8:00,FBX,8/1/2019,9:45,TGD,C1F1
FB620,8/1/2019,8:00,XSJ,8/1/2019,9:45,TGD,C1F1
FB1271,8/1/2019,8:00,THJ,8/1/2019,10:00,NOU,C1F1
FB731,8/1/2019,8:05,HOM,8/1/2019,9:20,UDJ,C1F1
FB602,8/1/2019,8:05,XMH,8/1/2019,9:45,TGD,C1F1
FB96,8/1/2019,8:10,HOM,8/1/2019,9:25,TGD,C1F1
FB561,8/1/2019,8:10,TGD,8/1/2019,9:35,XNZ,C1F1
FB763,8/1/2019,8:15,HOM,8/1/2019,10:20,SXA,C1F1
FB673,8/1/2019,8:15,TGD,8/1/2019,9:40,THJ,C1F1
FB661,8/1/2019,8:15,TGD,8/1/2019,10:00,GKU,C1F1
FB662,8/1/2019,8:15,GKU,8/1/2019,10:05,TGD,C1F1
FB641,8/1/2019,8:20,TGD,8/1/2019,10:00,XMJ,C1F1
FB577,8/1/2019,8:25,HOM,8/1/2019,10:20,NOU,C1F1
FB642,8/1/2019,8:25,XMJ,8/1/2019,10:05,TGD,C1F1
FB243,8/1/2019,8:30,TGD,8/1/2019,10:15,FBX,C1F1
