em_no,leg_no,fl_no,dpt_date,dpt_time,dpt_ap,arr_date,arr_time,arr_ap,cls
A0001,1,FA864,8/11/2021,17:30,NKX,8/11/2021,19:15,PXB,C
A0001,2,FA865,8/12/2021,20:00,PXB,8/12/2021,21:45,NKX,C
A0001,3,FA812,8/13/2021,12:20,NKX,8/13/2021,14:05,PDK,C
A0001,4,FA813,8/14/2021,14:50,PDK,8/14/2021,16:40,NKX,C
A0001,5,FA872,8/15/2021,7:55,NKX,8/15/2021,9:00,PLM,C
A0001,6,FA873,8/16/2021,9:40,PLM,8/16/2021,10:50,NKX,C
A0001,7,FA872,8/17/2021,7:55,NKX,8/17/2021,9:00,PLM,C
A0001,8,FA873,8/18/2021,9:40,PLM,8/18/2021,10:50,NKX,C
A0001,9,FA872,8/19/2021,7:55,NKX,8/19/2021,9:00,PLM,C
A0001,10,FA873,8/20/2021,9:40,PLM,8/20/2021,10:50,NKX,C
A0001,11,FA872,8/21/2021,7:55,NKX,8/21/2021,9:00,PLM,C
A0001,12,FA873,8/22/2021,9:40,PLM,8/22/2021,10:50,NKX,C
A0001,13,FA872,8/23/2021,7:55,NKX,8/23/2021,9:00,PLM,C
A0001,14,FA873,8/24/2021,9:40,PLM,8/24/2021,10:50,NKX,C
A0001,15,FA680,8/25/2021,8:00,NKX,8/25/2021,9:30,PGX,C
A0001,16,FA681,8/25/2021,10:10,PGX,8/25/2021,11:40,NKX,C
A0002,1,FA680,8/11/2021,8:00,NKX,8/11/2021,9:30,PGX,C
A0002,2,FA3,8/12/2021,10:25,PGX,8/12/2021,11:40,NKX,C
A0002,3,FA872,8/13/2021,7:55,NKX,8/13/2021,9:00,PLM,C
A0002,4,FA873,8/14/2021,9:40,PLM,8/14/2021,10:50,NKX,C
A0002,5,FA812,8/15/2021,12:20,NKX,8/15/2021,14:05,PDK,C
A0002,6,FA813,8/16/2021,14:50,PDK,8/16/2021,16:40,NKX,C
A0002,7,FA680,8/17/2021,8:00,NKX,8/17/2021,9:30,PGX,C
A0002,8,FA681,8/18/2021,10:10,PGX,8/18/2021,11:40,NKX,C
A0002,9,FA854,8/19/2021,13:50,NKX,8/19/2021,15:30,CTH,C
A0002,10,FA855,8/19/2021,16:10,CTH,8/19/2021,17:55,NKX,C
A0002,11,FA872,8/20/2021,7:55,NKX,8/20/2021,9:00,PLM,C
A0002,12,FA873,8/21/2021,9:40,PLM,8/21/2021,10:50,NKX,C
A0002,13,FA680,8/22/2021,8:00,NKX,8/22/2021,9:30,PGX,C
A0002,14,FA681,8/23/2021,10:10,PGX,8/23/2021,11:40,NKX,C
A0002,15,FA872,8/24/2021,7:55,NKX,8/24/2021,9:00,PLM,C
A0002,16,FA873,8/25/2021,9:40,PLM,8/25/2021,10:50,NKX,D
A0003,1,FA680,8/11/2021,8:00,NKX,8/11/2021,9:30,PGX,D
A0003,2,FA681,8/11/2021,10:10,PGX,8/11/2021,11:40,NKX,C
A0003,3,FA872,8/12/2021,7:55,NKX,8/12/2021,9:00,PLM,C
A0003,4,FA873,8/13/2021,9:40,PLM,8/13/2021,10:50,NKX,C
A0003,5,FA872,8/14/2021,7:55,NKX,8/14/2021,9:00,PLM,C
A0003,6,FA873,8/15/2021,9:40,PLM,8/15/2021,10:50,NKX,C
A0003,7,FA872,8/16/2021,7:55,NKX,8/16/2021,9:00,PLM,C
A0003,8,FA873,8/17/2021,9:40,PLM,8/17/2021,10:50,NKX,C
A0003,9,FA872,8/18/2021,7:55,NKX,8/18/2021,9:00,PLM,C
A0003,10,FA873,8/19/2021,9:40,PLM,8/19/2021,10:50,NKX,C
A0003,11,FA680,8/20/2021,8:00,NKX,8/20/2021,9:30,PGX,C
A0003,12,FA681,8/21/2021,10:10,PGX,8/21/2021,11:40,NKX,C
A0003,13,FA864,8/22/2021,17:30,NKX,8/22/2021,19:15,PXB,C
A0003,14,FA865,8/23/2021,20:00,PXB,8/23/2021,21:45,NKX,C
A0003,15,FA864,8/24/2021,17:30,NKX,8/24/2021,19:15,PXB,C
A0003,16,FA865,8/25/2021,20:00,PXB,8/25/2021,21:45,NKX,D
A0004,1,FA680,8/11/2021,8:00,NKX,8/11/2021,9:30,PGX,D
