em_no,fl_no,date,cls
B0021,FB94,3,C
B0049,FB94,3,F
B0021,FB281,3,C
B0049,FB281,3,F
B0021,FB282,3,C
B0049,FB282,3,F
B0021,FB473,3,C
B0049,FB473,3,F
B0021,FB472,3,C
B0049,FB472,3,F
B0021,FB583,4,C
B0049,FB583,4,F
B0021,FB584,4,C
B0049,FB584,4,F
B0021,FB623,4,C
B0049,FB623,4,F
B0021,FB626,4,C
B0049,FB626,4,F
B0021,FB73,4,C
B0049,FB73,4,F
B0021,FB50,5,C
B0049,FB50,5,F
B0021,FB247,5,C
B0049,FB247,5,F
B0021,FB252,5,C
B0049,FB252,5,F
B0021,FB645,5,C
B0049,FB645,5,F
B0021,FB648,5,C
B0049,FB648,5,F
B0021,FB93,6,C
B0049,FB93,6,F
B0021,FB1795,6,C
B0049,FB1795,6,F
B0021,FB1796,6,C
B0049,FB1796,6,F
B0021,FB8559,9,C
B0049,FB8559,9,F
B0021,FB8560,9,C
B0049,FB8560,9,F
B0021,FB412,12,C
B0049,FB412,12,F
B0021,FB17,12,C
B0049,FB17,12,F
B0021,FB8559,15,C
B0049,FB8559,15,F
B0021,FB8558,15,C
B0049,FB8558,15,F
B0021,FB789,16,C
B0049,FB789,16,F
B0021,FB790,16,C
B0049,FB790,16,F
B0021,FB321,16,C
B0049,FB321,16,F
B0021,FB322,17,C
B0049,FB322,17,F
B0021,FB8569,17,C
B0049,FB8569,17,F
B0021,FB8559,20,C
B0049,FB8559,20,F
B0021,FB1000,20,C
B0049,FB1000,20,F
B0021,FB575,21,C
B0049,FB575,21,F
B0021,FB576,21,C
B0049,FB576,21,F
B0021,FB797,21,C
B0049,FB797,21,F
B0021,FB800,21,C
B0049,FB800,21,F
B0021,FB97,21,C
B0049,FB97,21,F
B0021,FB986,24,C
B0049,FB986,24,F
B0021,FB787,24,C
B0049,FB787,24,F
B0021,FB788,24,C
B0049,FB788,24,F
B0021,FB25,24,C
B0049,FB25,24,F
B0021,FB8559,27,C
B0049,FB8559,27,F
B0021,FB1000,27,C
B0049,FB1000,27,F
B0021,FB53,27,C
B0049,FB53,27,F
B0021,FB56,27,C
B0049,FB56,27,F
B0021,FB561,28,C
B0049,FB561,28,F
B0021,FB564,28,C
B0049,FB564,28,F
B0021,FB377,28,C
B0049,FB377,28,F
B0021,FB378,28,C
B0049,FB378,28,F
B0021,FB493,28,C
B0049,FB493,28,F
B0021,FB492,29,C
B0049,FB492,29,F
B0021,FB383,29,C
B0049,FB383,29,F
B0021,FB386,29,C
B0049,FB386,29,F
B0021,FB475,29,C
B0049,FB475,29,F
B0021,FB8558,30,C
B0049,FB8558,30,F
B0021,FB15,30,C
B0049,FB15,30,F
B0022,FB412,3,C
B0050,FB412,3,F
B0022,FB17,3,C
