em_no,leg_no,fl_no,dpt_date,dpt_time,dpt_ap,arr_date,arr_time,arr_ap,cls
B0001,1,FB1717,8/3/2019,16:15,HOM,8/3/2019,18:10,NOU,F
B0001,2,FB1272,8/3/2019,18:50,NOU,8/3/2019,20:50,THJ,F
B0001,3,FB690,8/4/2019,21:35,THJ,8/4/2019,23:00,TGD,F
B0001,4,FB79,8/5/2019,20:00,TGD,8/5/2019,21:35,NOU,F
B0001,5,FB778,8/6/2019,16:50,NOU,8/6/2019,18:40,HOM,F
B0001,6,FB739,8/6/2019,19:40,HOM,8/6/2019,20:55,UDJ,F
B0001,7,FB740,8/9/2019,18:55,UDJ,8/9/2019,20:20,HOM,F
B0001,8,FB1145,8/10/2019,9:00,HOM,8/10/2019,10:55,XBT,F
B0001,9,FB1146,8/16/2019,11:30,XBT,8/16/2019,13:30,HOM,F
B0001,10,FB777,8/16/2019,15:45,HOM,8/16/2019,17:35,NOU,F
B0001,11,FB380,8/16/2019,18:35,NOU,8/16/2019,20:30,SXJ,F
B0001,12,FB652,8/18/2019,7:10,SXJ,8/18/2019,8:25,TGD,F
B0001,13,FB687,8/19/2019,19:35,TGD,8/19/2019,21:00,THJ,F
B0001,14,FB1271,8/20/2019,8:00,THJ,8/20/2019,10:00,NOU,F
B0001,15,FB1693,8/20/2019,10:50,NOU,8/20/2019,14:25,SXA,F
B0001,16,FB1868,8/21/2019,15:15,SXA,8/21/2019,16:50,XMJ,F
B0001,17,FB642,8/26/2019,8:25,XMJ,8/26/2019,10:05,TGD,F
B0001,18,FB39,8/26/2019,19:00,TGD,8/26/2019,20:15,HOM,F
B0002,1,FB18,8/4/2019,9:00,HOM,8/4/2019,10:10,TGD,F
B0002,2,FB321,8/5/2019,19:55,TGD,8/5/2019,20:50,OSY,F
B0002,3,FB312,8/9/2019,7:10,OSY,8/9/2019,8:15,TGD,F
B0002,4,FB79,8/10/2019,20:00,TGD,8/10/2019,21:35,NOU,F
B0002,5,FB380,8/11/2019,18:35,NOU,8/11/2019,20:30,SXJ,F
B0002,6,FB652,8/17/2019,7:10,SXJ,8/17/2019,8:25,TGD,F
B0002,7,FB273,8/18/2019,19:45,TGD,8/18/2019,21:40,FBX,F
B0002,8,FB430,8/19/2019,19:15,FBX,8/19/2019,20:35,HOM,F
B0002,9,FB577,8/20/2019,8:25,HOM,8/20/2019,10:20,NOU,F
B0002,10,FB774,8/20/2019,11:05,NOU,8/20/2019,12:55,HOM,F
B0003,1,FB986,8/6/2019,7:05,HOM,8/6/2019,8:15,TGD,F
B0003,2,FB399,8/7/2019,20:15,TGD,8/7/2019,21:15,UYS,F
B0003,3,FB394,8/13/2019,7:10,UYS,8/13/2019,8:15,TGD,F
B0003,4,FB539,8/14/2019,20:00,TGD,8/14/2019,21:20,OAX,F
B0003,5,FB532,8/19/2019,7:35,OAX,8/19/2019,8:55,TGD,F
B0003,6,FB271,8/20/2019,19:30,TGD,8/20/2019,21:20,FBX,F
B0003,7,FB266,8/21/2019,18:25,FBX,8/21/2019,20:10,TGD,F
B0003,8,FB99,8/21/2019,21:00,TGD,8/21/2019,22:20,HOM,F
